Contact ID,Yardi ID,Yardi HOH ID,HOH,Birth Year,Age at MI,First Move In,MI_year_again,Move Out,Campaign Type,Start Date,Reason,Sub-Type,MO Reason,MI_year,MI_before_2014,MI_after_2010,MI_in_wndow
003U000001V5yj3,19,19,1,1969,42,2010-10-04T00:00:00Z,2010,,Property Meeting,12/28/16,Proactive,Social,,2010,true,true,true
003U000001V60aK,fam22185;fam33666;rm21690,19,0,1972,38,2010-10-04T00:00:00Z,2010,,Property Meeting,10/26/16,Proactive,Social,,2010,true,true,true
003U000001V5yj3,19,19,1,1969,42,2010-10-04T00:00:00Z,2010,,Property Meeting,10/26/16,Proactive,Social,,2010,true,true,true
003U000001V5yj3,19,19,1,1969,42,2010-10-04T00:00:00Z,2010,,Support Group,2/28/17,Reactive,Educational,,2010,true,true,true
003U000001V5yj3,19,19,1,1969,42,2010-10-04T00:00:00Z,2010,,Community Meal,4/4/17,Reactive,Social,,2010,true,true,true
003U000001V5yj3,19,19,1,1969,42,2010-10-04T00:00:00Z,2010,,Support Group,5/16/17,Proactive,Educational,,2010,true,true,true
003U000001V5yj3,19,19,1,1969,42,2010-10-04T00:00:00Z,2010,,Community Meal,5/16/17,Proactive,Social,,2010,true,true,true
003U000001V5yj3,19,19,1,1969,42,2010-10-04T00:00:00Z,2010,,Support Group,5/2/17,Proactive,Educational,,2010,true,true,true
003U000001V5yj3,19,19,1,1969,42,2010-10-04T00:00:00Z,2010,,Support Group,3/10/17,Reactive,Educational,,2010,true,true,true
003U000001V5yj3,19,19,1,1969,42,2010-10-04T00:00:00Z,2010,,Community Meal,8/19/16,Proactive,Social,,2010,true,true,true
003U000001V5yj3,19,19,1,1969,42,2010-10-04T00:00:00Z,2010,,Community Meal,6/8/16,Proactive,Social,,2010,true,true,true
003U000001V5yj3,19,19,1,1969,42,2010-10-04T00:00:00Z,2010,,Class,6/15/16,Proactive,Social,,2010,true,true,true
003U000001V60aK,fam22185;fam33666;rm21690,19,0,1972,38,2010-10-04T00:00:00Z,2010,,Property Meeting,6/25/14,,Social,,2010,true,true,true
003U000001V60aK,fam22185;fam33666;rm21690,19,0,1972,38,2010-10-04T00:00:00Z,2010,,Property Meeting,5/23/15,,Social,,2010,true,true,true
003U000001V5zZL,4198,4198,1,1951,59,2010-02-01T00:00:00Z,2010,,Property Meeting,11/24/16,Proactive,Educational,,2010,true,true,true
003U000001V5z0E,4232,4232,1,1988,22,2010-01-29T00:00:00Z,2010,,Property Meeting,12/28/16,Proactive,Social,,2010,true,true,true
003U000001V5z0E,4232,4232,1,1988,22,2010-01-29T00:00:00Z,2010,,Property Meeting,12/20/16,Proactive,Social,,2010,true,true,true
003U000001V5z0E,4232,4232,1,1988,22,2010-01-29T00:00:00Z,2010,,Community Meal,4/4/17,Reactive,Social,,2010,true,true,true
0030B000020NOsl,fam42162;fam43403,4232,0,1994,16,2010-01-29T00:00:00Z,2010,,Community Meal,4/4/17,Reactive,Social,,2010,true,true,true
003U000001V5z0E,4232,4232,1,1988,22,2010-01-29T00:00:00Z,2010,,Support Group,5/16/17,Proactive,Educational,,2010,true,true,true
