Contact ID,Yardi ID,Yardi HOH ID,HOH,Birth Year,Age at MI,First Move In,event_after_MI,3years_after_MI,event_before_3years,event_in_3years,MI_year_again,Start Date,Move Out,Campaign Type,Reason,Sub-Type,MO Reason
003U000001V5yoS,7498,7498,1,1961,50,2011-01-19T00:00:00Z,true,2014-01-19T00:00:00Z,true,true,2011,2014-01-11T00:00:00Z,,Class,,Educational,
003U000001V5yoS,7498,7498,1,1961,50,2011-01-19T00:00:00Z,true,2014-01-19T00:00:00Z,true,true,2011,2014-01-18T00:00:00Z,,Class,,Educational,
003U0000013FSWB,;7517,7517,0,1984,27,2011-02-07T00:00:00Z,true,2014-02-07T00:00:00Z,true,true,2011,2014-01-29T00:00:00Z,2014-05-31T00:00:00Z,Movie Night,,Social,Skip
003U0000013FSkW,7797,7797,1,1960,51,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-01-13T00:00:00Z,2017-03-31T00:00:00Z,Food Shelf,,Social,
003U0000013FSkW,7797,7797,1,1960,51,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-02-10T00:00:00Z,2017-03-31T00:00:00Z,Food Shelf,,Social,
003U000001V5ylY,7873,7873,1,1961,50,2011-05-13T00:00:00Z,true,2014-05-13T00:00:00Z,true,true,2011,2014-01-13T00:00:00Z,2014-10-02T00:00:00Z,Food Shelf,,Social,Lease Violation(s)
003U000001V5ylY,7873,7873,1,1961,50,2011-05-13T00:00:00Z,true,2014-05-13T00:00:00Z,true,true,2011,2014-05-12T00:00:00Z,2014-10-02T00:00:00Z,Food Shelf,,Social,Lease Violation(s)
003U000001V60Y4,fam34138;fam29026;fam41687,7950,0,2004,7,2011-05-27T00:00:00Z,true,2014-05-27T00:00:00Z,true,true,2011,2014-01-07T00:00:00Z,,Campfire,,Social,
003U000001V60Y4,fam34138;fam29026;fam41687,7950,0,2004,7,2011-05-27T00:00:00Z,true,2014-05-27T00:00:00Z,true,true,2011,2014-04-16T00:00:00Z,,Campfire,,Social,
003U000001V607h,fam34139;fam29027;fam41688,7950,0,2008,3,2011-05-27T00:00:00Z,true,2014-05-27T00:00:00Z,true,true,2011,2014-01-07T00:00:00Z,,Campfire,,Social,
003U000001V607h,fam34139;fam29027;fam41688,7950,0,2008,3,2011-05-27T00:00:00Z,true,2014-05-27T00:00:00Z,true,true,2011,2014-04-16T00:00:00Z,,Campfire,,Social,
003U000001V5zKp,7974,7974,1,1988,23,2011-05-27T00:00:00Z,true,2014-05-27T00:00:00Z,true,true,2011,2014-04-30T00:00:00Z,2015-01-31T00:00:00Z,Bingo/Game Night,,Social,Relocation
003U000001V5zdm,7981,7981,1,1984,27,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-01-13T00:00:00Z,2015-03-31T00:00:00Z,Food Shelf,,Social,Desired Amenities
003U000001V5zdm,7981,7981,1,1984,27,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-02-10T00:00:00Z,2015-03-31T00:00:00Z,Food Shelf,,Social,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-01-03T00:00:00Z,2015-03-31T00:00:00Z,Class,,Educational,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-04-18T00:00:00Z,2015-03-31T00:00:00Z,Class,,Educational,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-04-25T00:00:00Z,2015-03-31T00:00:00Z,Class,,Educational,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-04-19T00:00:00Z,2015-03-31T00:00:00Z,Community Meal,,Social,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-01-13T00:00:00Z,2015-03-31T00:00:00Z,Food Shelf,,Social,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-02-10T00:00:00Z,2015-03-31T00:00:00Z,Food Shelf,,Social,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-01-28T00:00:00Z,2015-03-31T00:00:00Z,Property Meeting,,Social,Desired Amenities
003U0000013FSfP,;fam29099,7981,0,2004,7,2011-05-01T00:00:00Z,true,2014-05-01T00:00:00Z,true,true,2011,2014-03-19T00:00:00Z,2015-03-31T00:00:00Z,Property Meeting,,Social,Desired Amenities
003U000001V5ynA,8113,8113,1,1958,53,2011-06-01T00:00:00Z,true,2014-06-01T00:00:00Z,true,true,2011,2014-05-22T00:00:00Z,2017-03-31T00:00:00Z,Community Meal,,Social,
003U000001V5ynA,8113,8113,1,1958,53,2011-06-01T00:00:00Z,true,2014-06-01T00:00:00Z,true,true,2011,2014-02-10T00:00:00Z,2017-03-31T00:00:00Z,Food Shelf,,Social,
003U000001V5ynA,8113,8113,1,1958,53,2011-06-01T00:00:00Z,true,2014-06-01T00:00:00Z,true,true,2011,2014-05-12T00:00:00Z,2017-03-31T00:00:00Z,Food Shelf,,Social,
003U000001V5zrj,fam24918,8311,0,2004,7,2011-07-14T00:00:00Z,true,2014-07-14T00:00:00Z,true,true,2011,2014-03-18T00:00:00Z,2014-12-31T00:00:00Z,Campfire,,Social,Purchase of Home
003U000001V5zrj,fam24918,8311,0,2004,7,2011-07-14T00:00:00Z,true,2014-07-14T00:00:00Z,true,true,2011,2014-06-17T00:00:00Z,2014-12-31T00:00:00Z,Campfire,,Social,Purchase of Home
003U000001V5zrj,fam24918,8311,0,2004,7,2011-07-14T00:00:00Z,true,2014-07-14T00:00:00Z,true,true,2011,2014-06-18T00:00:00Z,2014-12-31T00:00:00Z,Campfire,,Social,Purchase of Home
003U000001V5zrj,fam24918,8311,0,2004,7,2011-07-14T00:00:00Z,true,2014-07-14T00:00:00Z,true,true,2011,2014-06-19T00:00:00Z,2014-12-31T00:00:00Z,Campfire,,Social,Purchase of Home
003U000001V5zrj,fam24918,8311,0,2004,7,2011-07-14T00:00:00Z,true,2014-07-14T00:00:00Z,true,true,2011,2014-06-24T00:00:00Z,2014-12-31T00:00:00Z,Campfire,,Social,Purchase of Home
003U000001V5zrj,fam24918,8311,0,2004,7,2011-07-14T00:00:00Z,true,2014-07-14T00:00:00Z,true,true,2011,2014-06-26T00:00:00Z,2014-12-31T00:00:00Z,Campfire,,Social,Purchase of Home
003U000001V5zrj,fam24918,8311,0,2004,7,2011-07-14T00:00:00Z,true,2014-07-14T00:00:00Z,true,true,2011,2014-07-01T00:00:00Z,2014-12-31T00:00:00Z,Campfire,,Social,Purchase of Home
003U000001V5zrj,fam24918,8311,0,2004,7,2011-07-14T00:00:00Z,true,2014-07-14T00:00:00Z,true,true,2011,2014-07-02T00:00:00Z,2014-12-31T00:00:00Z,Campfire,,Social,Purchase of Home
003U000001V5zrj,fam24918,8311,0,2004,7,2011-07-14T00:00:00Z,true,2014-07-14T00:00:00Z,true,true,2011,2014-07-03T00:00:00Z,2014-12-31T00:00:00Z,Campfire,,Social,Purchase of Home
003U000001V5zrj,fam24918,8311,0,2004,7,2011-07-14T00:00:00Z,true,2014-07-14T00:00:00Z,true,true,2011,2014-07-09T00:00:00Z,2014-12-31T00:00:00Z,Campfire,,Social,Purchase of Home
003U000001V5zrj,fam24918,8311,0,2004,7,2011-07-14T00:00:00Z,true,2014-07-14T00:00:00Z,true,true,2011,2014-07-10T00:00:00Z,2014-12-31T00:00:00Z,Campfire,,Social,Purchase of Home
003U0000013FSor,8411,8411,1,1954,57,2011-07-01T00:00:00Z,true,2014-07-01T00:00:00Z,true,true,2011,2014-02-15T00:00:00Z,,Community Meal,,Social,
003U0000013FSor,8411,8411,1,1954,57,2011-07-01T00:00:00Z,true,2014-07-01T00:00:00Z,true,true,2011,2014-04-19T00:00:00Z,,Community Meal,,Social,
003U0000013FSor,8411,8411,1,1954,57,2011-07-01T00:00:00Z,true,2014-07-01T00:00:00Z,true,true,2011,2014-05-17T00:00:00Z,,Community Meal,,Social,
003U0000013FSor,8411,8411,1,1954,57,2011-07-01T00:00:00Z,true,2014-07-01T00:00:00Z,true,true,2011,2014-05-22T00:00:00Z,,Community Meal,,Social,
003U0000013FSor,8411,8411,1,1954,57,2011-07-01T00:00:00Z,true,2014-07-01T00:00:00Z,true,true,2011,2014-01-13T00:00:00Z,,Food Shelf,,Social,
003U0000013FSor,8411,8411,1,1954,57,2011-07-01T00:00:00Z,true,2014-07-01T00:00:00Z,true,true,2011,2014-06-17T00:00:00Z,,Property Meeting,,Social,
003U000001V5zCo,8487,8487,1,1973,38,2011-08-01T00:00:00Z,true,2014-08-01T00:00:00Z,true,true,2011,2014-05-08T00:00:00Z,2017-04-26T00:00:00Z,Property Meeting,,Social,Non-Payment of Rent
003U000001V5ykG,8616,8616,1,1954,57,2011-08-01T00:00:00Z,true,2014-08-01T00:00:00Z,true,true,2011,2014-01-13T00:00:00Z,,Food Shelf,,Social,
003U000001V5ykG,8616,8616,1,1954,57,2011-08-01T00:00:00Z,true,2014-08-01T00:00:00Z,true,true,2011,2014-02-10T00:00:00Z,,Food Shelf,,Social,
003U000001V5zL4,9006,9006,1,1992,20,2011-11-01T00:00:00Z,true,2014-11-01T00:00:00Z,true,true,2011,2014-08-07T00:00:00Z,2015-11-30T00:00:00Z,Community Meal,,Social,Desired Amenities
003U0000013FRkY,9105,9105,1,1970,41,2011-09-30T00:00:00Z,true,2014-09-30T00:00:00Z,true,true,2011,2014-09-16T00:00:00Z,,PET Phase 1,,Educational,
003U0000013FRkY,9105,9105,1,1970,41,2011-09-30T00:00:00Z,true,2014-09-30T00:00:00Z,true,true,2011,2014-09-09T00:00:00Z,,PET Phase 1,,Educational,
003U0000013FRkY,9105,9105,1,1970,41,2011-09-30T00:00:00Z,true,2014-09-30T00:00:00Z,true,true,2011,2014-09-23T00:00:00Z,,PET Phase 1,,Educational,
003U0000013FRkY,9105,9105,1,1970,41,2011-09-30T00:00:00Z,true,2014-09-30T00:00:00Z,true,true,2011,2014-09-02T00:00:00Z,,PET Phase 1,,Educational,
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-09-04T00:00:00Z,2016-08-31T00:00:00Z,Campfire,,Social,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-08-14T00:00:00Z,2016-08-31T00:00:00Z,Community Meal,,Social,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-04-23T00:00:00Z,2016-08-31T00:00:00Z,Property Meeting,,Social,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-05-05T00:00:00Z,2016-08-31T00:00:00Z,Property Meeting,,Social,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-05-07T00:00:00Z,2016-08-31T00:00:00Z,Property Meeting,,Social,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-03-04T00:00:00Z,2016-08-31T00:00:00Z,Class,,Educational,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-03-06T00:00:00Z,2016-08-31T00:00:00Z,Class,,Educational,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-03-13T00:00:00Z,2016-08-31T00:00:00Z,Class,,Educational,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-03-27T00:00:00Z,2016-08-31T00:00:00Z,Class,,Educational,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-08-07T00:00:00Z,2016-08-31T00:00:00Z,Class,,Educational,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-02-05T00:00:00Z,2016-08-31T00:00:00Z,Community Meal,,Social,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-03-25T00:00:00Z,2016-08-31T00:00:00Z,Community Meal,,Social,Lease Violation(s)
003U0000013FRJS,9109,9109,1,1965,46,2011-11-03T00:00:00Z,true,2014-11-03T00:00:00Z,true,true,2011,2014-04-30T00:00:00Z,2016-08-31T00:00:00Z,Community Meal,,Social,Lease Violation(s)
003U0000013FQZf,9112,9112,1,1959,52,2011-12-01T00:00:00Z,true,2014-12-01T00:00:00Z,true,true,2011,2014-08-07T00:00:00Z,,Class,,Educational,
003U0000013FQZf,9112,9112,1,1959,52,2011-12-01T00:00:00Z,true,2014-12-01T00:00:00Z,true,true,2011,2014-06-24T00:00:00Z,,Community Meal,,Social,
003U000001V5yjD,9137,9137,1,1979,32,2011-10-07T00:00:00Z,true,2014-10-07T00:00:00Z,true,true,2011,2014-03-04T00:00:00Z,,Community Meal,,Social,
003U000001V5yjD,9137,9137,1,1979,32,2011-10-07T00:00:00Z,true,2014-10-07T00:00:00Z,true,true,2011,2014-05-06T00:00:00Z,,Community Meal,,Social,
003U000001V5yjD,9137,9137,1,1979,32,2011-10-07T00:00:00Z,true,2014-10-07T00:00:00Z,true,true,2011,2014-03-25T00:00:00Z,,Field Trip/Outing,,Educational,
003U000001V5yjD,9137,9137,1,1979,32,2011-10-07T00:00:00Z,true,2014-10-07T00:00:00Z,true,true,2011,2014-07-02T00:00:00Z,,Movie Night,,Social,
003U0000013FR7p,9233,9233,1,1981,30,2011-12-01T00:00:00Z,true,2014-12-01T00:00:00Z,true,true,2011,2014-08-07T00:00:00Z,,Class,,Educational,
003U0000013FR7p,9233,9233,1,1981,30,2011-12-01T00:00:00Z,true,2014-12-01T00:00:00Z,true,true,2011,2014-04-23T00:00:00Z,,Property Meeting,,Social,
003U000001V5zXe,9304,9304,1,1961,51,2011-12-05T00:00:00Z,true,2014-12-05T00:00:00Z,true,true,2011,2014-08-14T00:00:00Z,2014-12-31T00:00:00Z,Community Meal,,Social,Desired Amenities
003U000001V5zXe,9304,9304,1,1961,51,2011-12-05T00:00:00Z,true,2014-12-05T00:00:00Z,true,true,2011,2014-11-12T00:00:00Z,2014-12-31T00:00:00Z,Property Meeting,,Social,Desired Amenities
003U0000013FS7B,9343,9343,1,1949,62,2011-12-14T00:00:00Z,true,2014-12-14T00:00:00Z,true,true,2011,2014-10-10T00:00:00Z,2015-06-15T00:00:00Z,Class,,Educational,Funding Non-Compliance
003U0000013FS7B,9343,9343,1,1949,62,2011-12-14T00:00:00Z,true,2014-12-14T00:00:00Z,true,true,2011,2014-08-28T00:00:00Z,2015-06-15T00:00:00Z,Community Meal,,Social,Funding Non-Compliance
