Contact ID,Yardi ID,Yardi HOH ID,Yardi HoH,Birth year,Age at MI,First Move In,event_after_MI,3years_after_MI,event_before_3years,event_in_3years,MI_year_again,Move Out,Volunteer Job: Volunteer Job Name,Volunteer_Job_Name_Broad,Hours Worked,Start Date,Volunteer Job: Leadership Tier,MO Reason
003U0000013FRnb,4457,4457,1,1966,44,2010-04-01T00:00:00Z,true,2013-04-01T00:00:00Z,true,true,2010,,RC Program Assistance,Assistance/Support,0.25,2012-09-18T00:00:00Z,,
003U0000013FO0W,;4857,4857,1,1948,62,2010-06-01T00:00:00Z,true,2013-06-01T00:00:00Z,true,true,2010,4/30/16,RC Program Assistance,Assistance/Support,2,2011-08-31T00:00:00Z,,Moved to Project-Based Housing or Received Tenant-Based Subsidy
003U0000013FO0W,;4857,4857,1,1948,62,2010-06-01T00:00:00Z,true,2013-06-01T00:00:00Z,true,true,2010,4/30/16,RC Program Assistance,Assistance/Support,2,2011-09-30T00:00:00Z,,Moved to Project-Based Housing or Received Tenant-Based Subsidy
003U0000013FO0W,;4857,4857,1,1948,62,2010-06-01T00:00:00Z,true,2013-06-01T00:00:00Z,true,true,2010,4/30/16,Property Assistance,Assistance/Support,2,2011-01-31T00:00:00Z,,Moved to Project-Based Housing or Received Tenant-Based Subsidy
003U0000013FO0W,;4857,4857,1,1948,62,2010-06-01T00:00:00Z,true,2013-06-01T00:00:00Z,true,true,2010,4/30/16,Event Host,Leader/Host,2,2011-03-01T00:00:00Z,,Moved to Project-Based Housing or Received Tenant-Based Subsidy
003U0000013FO0W,;4857,4857,1,1948,62,2010-06-01T00:00:00Z,true,2013-06-01T00:00:00Z,true,true,2010,4/30/16,RC Program Assistance,Assistance/Support,2,2011-06-01T00:00:00Z,,Moved to Project-Based Housing or Received Tenant-Based Subsidy
003U0000013FO0W,;4857,4857,1,1948,62,2010-06-01T00:00:00Z,true,2013-06-01T00:00:00Z,true,true,2010,4/30/16,Property Assistance,Assistance/Support,2,2011-05-01T00:00:00Z,,Moved to Project-Based Housing or Received Tenant-Based Subsidy
003U0000013FO0W,;4857,4857,1,1948,62,2010-06-01T00:00:00Z,true,2013-06-01T00:00:00Z,true,true,2010,4/30/16,Event Host,Leader/Host,4,2011-04-30T00:00:00Z,,Moved to Project-Based Housing or Received Tenant-Based Subsidy
003U0000013FO0W,;4857,4857,1,1948,62,2010-06-01T00:00:00Z,true,2013-06-01T00:00:00Z,true,true,2010,4/30/16,RC Program Assistance,Assistance/Support,2,2011-10-31T00:00:00Z,,Moved to Project-Based Housing or Received Tenant-Based Subsidy
003U0000013FO0W,;4857,4857,1,1948,62,2010-06-01T00:00:00Z,true,2013-06-01T00:00:00Z,true,true,2010,4/30/16,Fund Development Phone Calls,Assistance/Support,3,2011-04-28T00:00:00Z,,Moved to Project-Based Housing or Received Tenant-Based Subsidy
