Contact ID	Yardi ID	Yardi HOH ID	HOH	birth year	Age at MI	First Move In	Move Out	Interaction: Record Type	Type	Sub-Type	Resource	Reason	Quantity	Cause Date	Date	HH MO Reason
003U0000013FQFP	3	3	1	1977	27	6/27/03		Material Goods	Material Goods		Food	Reactive	2		4/4/16	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Material Goods	Material Goods		Bus Cards	Reactive	2		4/20/17	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Material Goods	Material Goods		Back to School Supplies	Proactive	3		8/23/16	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Material Goods	Material Goods		Back to School Supplies		300		8/18/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Material Goods	Material Goods		Coats		5		11/19/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Material Goods	Material Goods		Bus Cards		10		5/13/15	
003U000001V5zud	fam34154;fam37504;fam42685	3	0	2010	-7	6/27/03		Material Goods	Material Goods		Back to School Supplies		300		8/18/14	
003U000001V5zuT	fam37503;fam42684	3	0	2008	-5	6/27/03		Material Goods	Material Goods		Back to School Supplies		300		8/18/14	
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Material Goods	Material Goods		Back to School Supplies		300		8/18/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Material Goods	Material Goods		Household Goods	Proactive	4		9/6/16	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Connection to Community Resource			Health Care	Reactive			4/26/16	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Connection to Community Resource			Safety				3/6/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Connection to Community Resource			Health Care				10/3/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Connection to Community Resource			Employment				9/11/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Connection to Community Resource			Clothing; Furniture; Household Goods				10/16/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Connection to Community Resource			Interpretation				1/28/15	
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Connection to Community Resource			Safety				3/6/14	
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Connection to Community Resource			Health Care				10/3/14	
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Connection to Community Resource			Employment				9/11/14	
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Connection to Community Resource			Safety				3/6/14	
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Connection to Community Resource			Health Care				10/3/14	
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Connection to Community Resource			Employment				9/11/14	
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Connection to Community Resource			Mental Health				10/6/14	
003U000001V5zud	fam34154;fam37504;fam42685	3	0	2010	-7	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U000001V5zud	fam34154;fam37504;fam42685	3	0	2010	-7	6/27/03		Connection to Community Resource			Safety				3/6/14	
003U000001V5zud	fam34154;fam37504;fam42685	3	0	2010	-7	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U000001V5zud	fam34154;fam37504;fam42685	3	0	2010	-7	6/27/03		Connection to Community Resource			Health Care				10/3/14	
003U000001V5zud	fam34154;fam37504;fam42685	3	0	2010	-7	6/27/03		Connection to Community Resource			Employment				9/11/14	
003U000001V5zuT	fam37503;fam42684	3	0	2008	-5	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U000001V5zuT	fam37503;fam42684	3	0	2008	-5	6/27/03		Connection to Community Resource			Safety				3/6/14	
003U000001V5zuT	fam37503;fam42684	3	0	2008	-5	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U000001V5zuT	fam37503;fam42684	3	0	2008	-5	6/27/03		Connection to Community Resource			Health Care				10/3/14	
003U000001V5zuT	fam37503;fam42684	3	0	2008	-5	6/27/03		Connection to Community Resource			Employment				9/11/14	
003U000001V5zuT	fam37503;fam42684	3	0	2008	-5	6/27/03		Connection to Community Resource			Mental Health				10/6/14	
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Connection to Community Resource			Safety				3/7/14	
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Connection to Community Resource			Safety				3/6/14	
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Connection to Community Resource			Health Care				10/3/14	
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Connection to Community Resource			Employment				9/11/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Eviction Prevention	Non-payment of rent	Education	Reactive			6/10/16	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Computer Assistance	Proactive			5/10/16	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Advocacy		Immigration; Interpretation; Legal	Reactive			4/13/17	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Eviction Prevention	Non-payment of rent		Reactive		1/1/17	1/15/17	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Eviction Prevention	Non-payment of rent	Immigration	Reactive			7/12/16	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Eviction Prevention	Non-payment of rent		Reactive		8/8/16	8/16/16	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Community Involvement				5/8/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Community Involvement				4/22/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Education				11/19/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Education				4/1/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Education				11/6/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Education				3/24/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Education				3/24/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Education				11/6/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Coats				11/19/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Community Involvement				7/31/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Community Involvement				8/4/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Food				5/26/15	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Household Goods				5/5/15	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability						10/17/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Community Involvement				5/8/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability						5/6/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability						8/7/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability						9/4/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Housing Stability	Housing Stability						9/4/14	
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Housing Stability	Housing Stability						3/7/14	
003U000001V60DH	fam34155;fam34154;fam37505;fam42686	3	0	2011	-8	6/27/03		Housing Stability	Housing Stability						3/6/14	
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Housing Stability	Housing Stability						9/4/14	
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Housing Stability	Housing Stability						3/7/14	
003U000001V5zsy	fam34152;fam32900;fam37502;fam42683	3	0	2006	-3	6/27/03		Housing Stability	Housing Stability						3/6/14	
003U000001V5zud	fam34154;fam37504;fam42685	3	0	2010	-7	6/27/03		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U000001V5zud	fam34154;fam37504;fam42685	3	0	2010	-7	6/27/03		Housing Stability	Housing Stability						9/4/14	
003U000001V5zud	fam34154;fam37504;fam42685	3	0	2010	-7	6/27/03		Housing Stability	Housing Stability						3/7/14	
003U000001V5zud	fam34154;fam37504;fam42685	3	0	2010	-7	6/27/03		Housing Stability	Housing Stability						3/6/14	
003U000001V5zuT	fam37503;fam42684	3	0	2008	-5	6/27/03		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U000001V5zuT	fam37503;fam42684	3	0	2008	-5	6/27/03		Housing Stability	Housing Stability						9/4/14	
003U000001V5zuT	fam37503;fam42684	3	0	2008	-5	6/27/03		Housing Stability	Housing Stability						3/7/14	
003U000001V5zuT	fam37503;fam42684	3	0	2008	-5	6/27/03		Housing Stability	Housing Stability						3/6/14	
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Housing Stability	Housing Stability		Community Involvement				6/19/14	
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Housing Stability	Housing Stability						9/4/14	
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Housing Stability	Housing Stability						3/7/14	
003U000001V5zuY	fam37501;fam42682	3	0	2004	-1	6/27/03		Housing Stability	Housing Stability						3/6/14	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Eviction Prevention	Non-payment of rent	Housing; Income	Reactive			1/11/17	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Advocacy		Education; Income	Reactive			3/7/17	
003U0000013FQFP	3	3	1	1977	27	6/27/03		Housing Stability	Eviction Prevention	Non-payment of rent	Housing	Reactive			3/9/16	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Material Goods	Material Goods		Household Goods	Reactive	2		5/16/16	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Connection to Community Resource	Coordination of Services		Disabilities; Elderly Services; Medical/Dental; Homemaking/PCA	Reactive			8/10/16	
003U0000013FQFp	4	4	1	1926	72	10/6/97		Connection to Community Resource			Spiritual Connection	Proactive			5/24/16	
