Contact ID	Yardi ID	Yardi HOH ID	Birth Year	Age at MI	First Move In	Move Out	Interaction: Record Type	Type	Quantity	Date	MO Reason
003U000001V5zQd	100	100	1960	34	10/17/93	1/31/17	Prop Mgmt	Late Rent		7/1/16	
003U000001V5zQd	100	100	1960	34	10/17/93	1/31/17	Prop Mgmt	Late Rent	22	10/1/16	
003U000001V5zQd	100	100	1960	34	10/17/93	1/31/17	Prop Mgmt	Late Rent	20	6/1/17	
003U000001V5zQd	100	100	1960	34	10/17/93	1/31/17	Prop Mgmt	Late Rent	22	9/1/16	
003U000001mXdIf	10002	10002	1982	31	8/1/12		Prop Mgmt	Late Rent		1/1/16	
003U000001mXdIf	10002	10002	1982	31	8/1/12		Prop Mgmt	Late Rent	2	4/1/17	
003U000001mXdBt	10004	10004	1975	37	7/28/12		Prop Mgmt	Payment Plan	0	4/13/17	
003U000001mXdBt	10004	10004	1975	37	7/28/12		Prop Mgmt	Payment Plan	0	11/30/16	
003U000001mXdBt	10004	10004	1975	37	7/28/12		Prop Mgmt	Late Rent	23	4/1/17	
003U000001mXdBt	10004	10004	1975	37	7/28/12		Prop Mgmt	Late Rent	20	5/1/17	
003U000001mXdBt	10004	10004	1975	37	7/28/12		Prop Mgmt	Late Rent	7	11/1/16	
003U000001V5zE1	10024	10024	1962	49	4/24/12		Prop Mgmt	Late Rent	36	4/1/17	
003U000001V5zE1	10024	10024	1962	49	4/24/12		Prop Mgmt	Late Rent	1	2/1/17	
003U000001mXdFD	10027	10027	1963	50	7/29/12		Prop Mgmt	Late Rent	8	4/1/17	
003U000001mXdFD	10027	10027	1963	50	7/29/12		Prop Mgmt	Payment Plan	0	2/2/17	
003U000001mXdFD	10027	10027	1963	50	7/29/12		Prop Mgmt	Late Rent	37	2/1/17	
003U000001mXd94	10029	10029	1953	59	7/27/12		Prop Mgmt	Late Rent		9/1/15	Relocation
003U000001mXd94	10029	10029	1953	59	7/27/12		Prop Mgmt	Late Rent	7	8/1/16	Relocation
003U000001mXd94	10029	10029	1953	59	7/27/12		Prop Mgmt	Late Rent		7/1/16	Relocation
003U000001mXd94	10029	10029	1953	59	7/27/12		Prop Mgmt	Late Rent		2/1/16	Relocation
003U000001mXd94	10029	10029	1953	59	7/27/12		Prop Mgmt	Late Rent		1/1/16	Relocation
003U000001mXd94	10029	10029	1953	59	7/27/12		Prop Mgmt	Late Rent	7	12/1/16	Relocation
003U000001mXiC1	1003	1003	1981	28	1/22/10	5/31/16	Prop Mgmt	Late Rent		5/1/15	Relocation
003U000001mXd6G	10030	10030	1985	28	7/26/12		Prop Mgmt	Late Rent		5/1/15	
003U000001mXd6G	10030	10030	1985	28	7/26/12		Prop Mgmt	Late Rent		2/1/16	
003U000001mXd6G	10030	10030	1985	28	7/26/12		Prop Mgmt	Late Rent		1/1/16	
003U000001mXd6G	10030	10030	1985	28	7/26/12		Prop Mgmt	Late Rent	11	4/1/17	
003U000001mXd6G	10030	10030	1985	28	7/26/12		Prop Mgmt	Payment Plan		7/19/16	
003U000001mXd7c	10032	10032	1969	44	7/26/12		Prop Mgmt	Payment Plan	0	2/9/17	
003U000001mXd7c	10032	10032	1969	44	7/26/12		Prop Mgmt	Late Rent	78	1/1/17	
003U000001mXd7c	10032	10032	1969	44	7/26/12		Prop Mgmt	Late Rent	78	2/1/17	
003U000001mXgIl	10065	10065	1988	24	6/4/12	7/31/15	Prop Mgmt	Late Rent		8/1/14	Desired Amenities
003U000001mXf4a	10067	10067	1929	84	7/27/12	10/31/14	Prop Mgmt	Late Rent		2/1/14	Desired Amenities
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent	54	10/1/16	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		9/1/14	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		7/1/14	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		6/1/14	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		12/1/14	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		1/1/14	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		11/1/14	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		9/1/15	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		8/1/15	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		7/1/15	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		6/1/15	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		5/1/15	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		4/1/15	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		3/1/15	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		2/1/15	
003U000001V5yli	10069	10069	1988	24	6/1/12	3/31/17	Prop Mgmt	Late Rent		12/1/15	
