Contact ID	Yardi ID	Yardi HOH ID	Yardi HoH	Birth year	Age at MI	First Move In	Move Out	Volunteer Job: Volunteer Job Name	Hours Worked	Start Date	Volunteer Job: Leadership Tier	MO Reason
003U0000013FQFP	3	3	1	1977	27	6/27/03		Event Host	2	9/1/08		
003U0000013FQFP	3	3	1	1977	27	6/27/03		Event Host	1	6/1/08		
003U0000013FQFP	3	3	1	1977	27	6/27/03		Event Host	2	7/1/08		
003U0000013FQFp	4	4	1	1926	72	10/6/97		Program Planning and Support	1	12/1/07		
003U0000013FQFp	4	4	1	1926	72	10/6/97		Program Planning and Support	1	1/1/08		
003U000001V5zWq	12	12	1	1964	34	4/1/99		RC Support (Small role)	0.5	4/6/15	Tier 1	
003U000001V5zWq	12	12	1	1964	34	4/1/99		RC Support (Small role)	1	3/10/15	Tier 1	
003U000001V5zWq	12	12	1	1964	34	4/1/99		RC Support (Small role)	1	3/3/15	Tier 1	
003U000001V5zWq	12	12	1	1964	34	4/1/99		Cleaning/property improvement (big project)	1	4/26/15	Tier 2	
003U0000013FRTb	16	16	1	1970	33	12/20/02		RC Program Assistance	1.5	8/29/12		
003U0000013FRTb	16	16	1	1970	33	12/20/02		RC Program Assistance 2014	1.5	3/13/14		
003U0000013FRTb	16	16	1	1970	33	12/20/02		RC Support (Small role)	1	4/30/15	Tier 1	
003U0000013FRTb	16	16	1	1970	33	12/20/02		RC Support (Large role)	1	4/1/14	Tier 2	
003U0000013FRTb	16	16	1	1970	33	12/20/02		Cleaning/property improvement (big project)	1	4/26/15	Tier 2	
003U0000013FQET	22	22	1	1951	52	4/15/03		Event Host	2	5/1/07		
003U0000013FQET	22	22	1	1951	52	4/15/03		Flyering/Door Knocking	2	7/1/07		
003U000001V60G5	fam37724;fam39257;fam39289;fam41825;fam42450;fam42723	49	0	2011	-7	8/1/04		Event Assistance (Small duty)	0.5	11/19/14	Tier 1	
003U000001V60Fq	fam37723;fam39256;fam39288;fam41824;fam42449;fam42722	49	0	2006	-2	8/1/04		Cleaning/property improvements (small task)	0.5	11/19/14	Tier 1	
003U000001V5ygi	49	49	1	1969	35	8/1/04		Event Host	2	7/1/08		
003U000001V5ygi	49	49	1	1969	35	8/1/04		Event Host	1	6/1/08		
003U000001V609O	fam23254	56	0	2004	-4	7/27/00	10/2/14	RC Program Assistance 2014	0.25	5/20/14		Moved to Project-Based Housing or Received Tenant-Based Subsidy
003U0000013FS7i	64	64	1	1961	44	11/4/04		RC Program Assistance	1	11/23/13		
003U0000013FS7i	64	64	1	1961	44	11/4/04		RC Program Assistance	1	11/21/13		
003U0000013FS7i	64	64	1	1961	44	11/4/04		RC Program Assistance	0.5	11/23/13		
003U0000013FS7i	64	64	1	1961	44	11/4/04		RC Program Assistance	0.25	7/1/13		
003U0000013FS7i	64	64	1	1961	44	11/4/04		Help Shelf	0.25	6/6/13		
003U0000013FS7i	64	64	1	1961	44	11/4/04		RC Program Assistance	1.25	5/17/13		
003U0000013FS7i	64	64	1	1961	44	11/4/04		Floor Monitor	1.25	5/16/13		
003U0000013FS7i	64	64	1	1961	44	11/4/04		Resident Committee Meetings	1	10/20/16	Tier 1	
003U0000013FS7i	64	64	1	1961	44	11/4/04		Event Assistance (Small duty)	0.5	9/6/16	Tier 1	
003U0000013FS7i	64	64	1	1961	44	11/4/04		RC Support (Small role)	0.5	8/29/16	Tier 1	
003U0000013FS7i	64	64	1	1961	44	11/4/04		Event Assistance (Small duty)	0.25	4/8/17	Tier 1	
003U0000013FS7i	64	64	1	1961	44	11/4/04		RC Support (Large role)	1	4/16/16	Tier 2	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	3/21/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.25	2/20/17	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance 2014	0.33	8/11/14		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Event Assistance (Large role)	0.75	6/1/15	Tier 2	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.25	2/2/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.5	1/24/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Support (Small role)	0.25	1/15/16	Tier 1	
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.25	2/15/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking	0.25	2/11/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.25	8/30/12		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.75	8/29/12		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Landscaping	27.15	5/29/09		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking	0.25	3/18/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.25	3/13/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		RC Program Assistance	0.5	11/15/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking	0.5	11/7/13		
003U0000013FQ9I	71	71	1	1951	57	4/1/08		Flyering/Door Knocking	0.25	1/16/13		
