"","rules","support","confidence","lift","count"
"319810","{event_type_Property_Meeting=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.0730897009966777,0.379310344827586,1.87167891464104,22
"319816","{intx_record_type_Material_Goods=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.0598006644518272,0.346153846153846,1.70807061790668,18
"319819","{intx_type_Eviction_Prevention=1,intx_type_Material_Goods=0} => {Negative.MO=1}",0.0598006644518272,0.346153846153846,1.70807061790668,18
"302013","{intx_resource_Coats=0,intx_subtype_Non.payment_of_rent=1} => {Negative.MO=1}",0.053156146179402,0.340425531914894,1.67980467387513,16
"319825","{intx_resource_Community_Involvement=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.0697674418604651,0.333333333333333,1.6448087431694,21
"319828","{intx_resource_Household_Goods=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.0598006644518272,0.333333333333333,1.6448087431694,18
"319840","{intx_resource_Coats=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.0697674418604651,0.333333333333333,1.6448087431694,21
"319843","{intx_resource_Employment=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.0697674418604651,0.328125,1.61910860655738,21
"302016","{intx_resource_Back_to_School_Supplies=0,intx_subtype_Non.payment_of_rent=1} => {Negative.MO=1}",0.053156146179402,0.326530612244898,1.61124121779859,16
"319849","{intx_resource_Back_to_School_Supplies=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.0730897009966777,0.323529411764706,1.59643201542912,22
"319933","{intx_resource_Energy_Assistance=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.079734219269103,0.32,1.57901639344262,24
"319894","{intx_resource_Gift_Card=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.0764119601328904,0.319444444444444,1.57627504553734,23
"319921","{intx_resource_Income=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.079734219269103,0.315789473684211,1.55823986194996,24
"302028","{intx_resource_Gift_Card=0,intx_subtype_Non.payment_of_rent=1} => {Negative.MO=1}",0.053156146179402,0.313725490196078,1.54805528768885,16
"319813","{event_subtype_Educational=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.0664451827242525,0.3125,1.54200819672131,20
"319831","{intx_resource_Health_Care=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.0664451827242525,0.3125,1.54200819672131,20
"319897","{intx_resource_Bus_Cards=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.079734219269103,0.311688311688312,1.53800298062593,24
"319870","{intx_resource_Family.Social_Relations=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.079734219269103,0.30379746835443,1.49906619630629,24
"319957","{intx_resource_Financial_Literacy=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.079734219269103,0.30379746835443,1.49906619630629,24
"320350","{event_type_Property_Meeting=0,intx_record_type_Connection_to_Community_Resource=1} => {Negative.MO=1}",0.0564784053156146,0.303571428571429,1.49795081967213,17
"302046","{intx_resource_Energy_Assistance=0,intx_subtype_Non.payment_of_rent=1} => {Negative.MO=1}",0.053156146179402,0.30188679245283,1.48963810702134,16
"319804","{intx_type_Eviction_Prevention=1,intx_type_Housing_Stability=1} => {Negative.MO=1}",0.0631229235880399,0.301587301587302,1.48816029143898,19
"319879","{intx_type_Direct_Support=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.079734219269103,0.3,1.48032786885246,24
"319906","{intx_resource_Safety=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.079734219269103,0.3,1.48032786885246,24
"319930","{intx_resource_Welcome_Basket=0,intx_type_Eviction_Prevention=1} => {Negative.MO=1}",0.0764119601328904,0.298701298701299,1.47391952309985,23
"302031","{intx_resource_Bus_Cards=0,intx_subtype_Non.payment_of_rent=1} => {Negative.MO=1}",0.053156146179402,0.296296296296296,1.46205221615058,16
"302040","{intx_resource_Toys_for_Tots=0,intx_subtype_Non.payment_of_rent=1} => {Negative.MO=1}",0.053156146179402,0.296296296296296,1.46205221615058,16
